Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff(Days),Issue Type,Priority,#Contributors
MDL-40074,Create a quiz from a set of questions.,We have functionality to add a quiz to a course here '/mod/quiz/tests/generator/lib.php' and we need to be able to add questions to quizzes.,8,6/6/2013,19/7/2013,43,Sub-task,Minor,4
MDL-40087,Turn editing on button misaligned on navigation bar,"The 'Turn editing on' button is misaligned on the navigation bar.

In 'moodle/modules.less':

{code}
.breadcrumb-button {
    float: right;
    margin-top: 3px;
}
{code}

needs to be:

{code}
.breadcrumb-button {
    float: right;
    margin-top: 4px;
}
{code}",17,7/6/2013,14/6/2013,7,Sub-task,Minor,6
MDL-40097,Course completion role criteria causes fatal error,"Hi there,

I'm using Moodle 2.4 on a test site.

I've got a large course with many activities with completion criteria set. I'm using the Flexible Sections course format to structure things.

When I added the Course Completion block to the course I started getting the error:

Coding error detected, it must be fixed by a programmer: PHP catchable fatal error

I was able to turn on debugging and have identified the course completion block as the issue. When it's disabled the error goes.

Here's the debug info:

Debug info: Argument 1 passed to role_get_name() must be an instance of stdClass, boolean given, called in [dirroot]/completion/criteria/completion_criteria_role.php on line 126 and defined
Error code: codingerror
Stack trace:
line 406 of /lib/setuplib.php: coding_exception thrown
line 4458 of /lib/accesslib.php: call to default_error_handler()
line 126 of /completion/criteria/completion_criteria_role.php: call to role_get_name()
line 141 of /blocks/completionstatus/block_completionstatus.php: call to completion_criteria_role->get_title()
line 284 of /blocks/moodleblock.class.php: call to block_completionstatus->get_content()
line 232 of /blocks/moodleblock.class.php: call to block_base->formatted_contents()
line 953 of /lib/blocklib.php: call to block_base->get_content_for_output()
line 1005 of /lib/blocklib.php: call to block_manager->create_block_contents()
line 353 of /lib/blocklib.php: call to block_manager->ensure_content_created()
line 34 of /theme/standardtotara/layout/general.php: call to block_manager->region_has_content()
line 806 of /lib/outputrenderers.php: call to include()
line 734 of /lib/outputrenderers.php: call to core_renderer->render_page_layout()
line 240 of /course/view.php: call to core_renderer->header()",40,7/6/2013,9/1/2015,581,Bug,Major,18
MDL-40258,"Filepicker ""Invalid JSON String"" error due to bug in how accepted_types is handled","I discovered a bug in the way that the ""accepted_types"" option of the file picker is handled. When passing in several different extensions and mime-types in the array file_get_grouptype() in lib/filelib.php returns an numerically indexed array of extensions. Those are passed in js_init_call(), which json_encodes it and includes in the page on output. 

When the array has consecutive indices starting at 0 (e.g. array(0 => 'jpg', 1 => 'png', 2 => 'svg') it gets encoded as an Array in JavaScript (e.g. ['jpg', 'png', 'svg']) and when the filepicker code turns that into the accepted_types parameter for the ajax call to the repository it works great there is no error.

When the array has non-consecutive indices (e.g. array(0 => 'jpg', 1 => 'png', 9 => 'svg') it gets encoded as an JavaScript Object instead (e.g. {0: 'jpg', 1: 'png', 9: 'svg'} which in turn gets turned into the string ""[object Object]"" when the filepicker code trys to turn it into the accepted_types parameter for the ajax call to the repository.

",6,21/6/2013,28/6/2013,7,Bug,Minor,5
MDL-40299,migrate textlib to core_ prefix and auto class loader,"reasons:
* memory use
* coding style improvements

With full BC of course...",18,24/6/2013,4/7/2013,10,Improvement,Minor,7
MDL-40305,phpunit testcase autoloader,phpunit should be able to find the file where is the testcase defined automatically...,7,24/6/2013,28/6/2013,4,Improvement,Minor,3
MDL-40402,Deprecate get_system_context(),"Add deprecate warning to get_system_context() function.
http://docs.moodle.org/dev/Deprecation#Step_1._Immediate_action",5,1/7/2013,12/7/2013,11,Sub-task,Minor,5
MDL-40522,Grade assignment from a sorted table brings up incorrect student when new submissions since page load,"To recreate:

1. grade an assignment and order 'Last modified (submission)' to show newest submission at top

2. submit an assignment as a student from another browser

3. click grade for the top assignment.

This should bring up grading for the student that's just submitted",1,5/7/2013,23/8/2013,49,Bug,Minor,2
MDL-40700,MUC: memcache instance key prefix does not allow numeric values,"When configuring a memcache store, the key prefix field allows the user to submit numbers, and save the changes.
Because the form definition uses ALPHAEXT for this field, the numbers are stripped out silently.
A simple fix is to change the field type to ALPHANUMEXT, and add some form validation.

{code}
diff --git a/cache/stores/memcache/addinstanceform.php b/cache/stores/memcache/addinstanceform.php
index 984966a..29e1239 100644
--- a/cache/stores/memcache/addinstanceform.php
+++ b/cache/stores/memcache/addinstanceform.php
@@ -49,7 +49,7 @@ class cachestore_memcache_addinstance_form extends cachestore_addinstance_form {
         $form->addElement('text', 'prefix', get_string('prefix', 'cachestore_memcache'),
                 array('maxlength' => 5, 'size' => 5));
         $form->addHelpButton('prefix', 'prefix', 'cachestore_memcache');
-        $form->setType('prefix', PARAM_ALPHAEXT);
+        $form->setType('prefix', PARAM_ALPHANUMEXT);
         $form->setDefault('prefix', 'mdl_');
     }
{code}

Is there a reason behind not allowing numeric prefixes? With a 5 character limit, very few sites can use the same memcache servers, and have meaningful key prefixes.",11,17/7/2013,26/7/2013,9,Bug,Minor,5
MDL-40728,Improve UI documentation for tool_uploadcourse,"The documentation of the tool to upload course via CSV should be checked.

- Update inaccurate labels
- Update/add help buttons
- Check for consistency between help button and behaviour
- An error message states ""(don\t use comma-quoted as Moodle does not support it)"", this is wrong!
",20,18/7/2013,15/11/2013,120,Bug,Minor,7
MDL-40803,"Combine hidenav, navpositiontype as nav setting","Combine ""hidenav"" with the new setting ""navpositiontype"" and rename it to ""nav"".
Rename ""Navigation buttons position"" to ""Show Navigation"" and give the following options:
* No
* Under content
* Floating

Remove ""Default"" option. Setting ""From left/top"" as a negative integer will display navigation buttons at the default position (under the TOC).
",1,21/7/2013,22/10/2013,93,Sub-task,Minor,2
MDL-40845,Theme Clean - Fix breadcrumb alignment for RTL,Breadcrumb navigation needs to align right in RTL.,4,24/7/2013,8/9/2013,46,Bug,Minor,3
MDL-40922,Replace add_to_log with an event trigger - mod_folder,"Replace the add_to_log calls for the following area, with a call to the get_legacy_logdata function in the event class.

*mod_folder*
/mod/folder/index.php:36: add_to_log($course->id, 'folder', 'view all', ""index.php?id=$course->id"", '');
/mod/folder/edit.php:66: add_to_log($course->id, 'folder', 'edit', 'edit.php?id='.$cm->id, $folder->id, $cm->id);
/mod/folder/view.php:53: add_to_log($course->id, 'folder', 'view', 'view.php?id='.$cm->id, $folder->id, $cm->id);",14,29/7/2013,10/1/2014,165,Bug,Minor,7
MDL-40933,When filtering user by access date the date fields should specify which field 'is before' and which field 'is after'.,"Since 2.5 the filter form for user by access date is not usable. There are two date fields for each of ther filter selectors First access/Last access and Last modified but no text entry which field defines which filtering.

Solution:
add 'is after' in front of first date field  and 'is before' in front of second date field for each of the selectors. ",8,30/7/2013,8/8/2013,9,Bug,Critical,6
MDL-41045,course_add_cm_to_section should not test for sections unless necessary,"The course_add_cm_to_section has a comment about not using modinfo because it might not be valid. (It clears modinfo, but does not use it directly.) However, it calls course_create_sections_if_missing which does use modinfo.

This causes performance problems if you try to add a cm to a section repeatedly, which I am doing at present; each time it will create modinfo, then clear it. Additionally, presumably there was some reason for not using modinfo in the first place.

I propose that we change course_create_sections_if_missing so that it optionally doesn't use modinfo.

",12,6/8/2013,15/8/2013,9,Bug,Minor,5
MDL-41057,Improve CSS optimisation.,"PHPDoc and coding style clean up on the way.

This issue will also address any unspecified bugs I find along the way.
As the CSS optimiser has been disabled for bootstrap base I'd bet there are some easy fixes in there.",7,7/8/2013,23/8/2013,16,Improvement,Minor,4
MDL-41208,Update YUI to version 3.12.0,YUI needs to be updated to version 3.12.0,23,15/8/2013,27/9/2013,43,Sub-task,Blocker,8
MDL-41212,filemanager and filepicker popup windows rely on non-flexible table layouts and do not cope with small screens,"The content of these panels needs to be rewritten using responsive css.

",4,15/8/2013,19/5/2015,642,Sub-task,Minor,3
MDL-41213,File picker modal layout issues when using clean theme.,"# Log in as any user.
# Visit 'My Profile' -> 'My Private Files'.
# Click to add a file.
# Search for a picture in wikimedia.
# Click to open it.
# Notice the following issues -

Dotted line appears (in master due to MDL-39851), colon appears on the line below 'Choose license', there is no spacing between the label and select box and the select box extends out of the window. See the screenshot attached for demonstration of this.",11,15/8/2013,30/8/2013,15,Bug,Major,6
MDL-41273,Edit PDF: Finish work on comments tool,"Things to do for the comments tool:

Prevent HTML tags from appearing in the comments (maybe switch to a textarea)
Fix incorrect offsets when the page is scrolled.
",2,19/8/2013,6/9/2013,18,New feature,Minor,2
MDL-41290,Improve SCORM user level report,The user level report page isn't great - we should improve it so that you can select different attempts once you are viewing an individual attempt and we should display the data in a more useful manner like the interactions and objectives reports. It should also allow the data to be exported.,20,19/8/2013,13/9/2013,25,Improvement,Minor,6
MDL-41362,Add & remove buttons on several forms misaligned in Clean theme,"Several forms in Moodle have two list either side and two buttons in the middle to add and remove items. Adding users to groups, or adding users to roles are two examples.

Currently the top button has an extra 5px of margin on the left so the buttons are not aligned.

Changing the CSS so that both have margin: auto on the left and right is probably the best way forward.

",8,21/8/2013,23/1/2014,155,Bug,Major,6
MDL-41459,POLICY: Make Clean theme the default for Moodle 2.7,If clean is to be the default theme for 2.7 we should collect all the outstanding fixes required and make a push to get it ready. ,4,28/8/2013,18/3/2014,202,Task,Major,3
MDL-41476,SCORM - increase 1.2 datamodel lengths,"SCORM 1.2 spec states that suspend_data should be no more than 4096 characters - problem is that many SCORM authoring tools create packages that go over this limit and fail in various ways. (SCORM 2004 spec allows a higher number of chars)

People have previously published their packages as SCORM 2004 to get around this limit but as we are no longer continuing to develop SCORM 2004 in Moodle I think it would be useful to add a setting for people to allow 1.2 packages to store more data.

We also enforce 1.2 limits on other areas like student response:
https://moodle.org/mod/forum/discuss.php?d=216092

I'd like to add an admin level setting ""SCORM 1.2 standards mode"" that is enabled by default (eg compliant with the standard) - if people want to allow their packages to break the standard they can untick the box. - unticking this box would increase the CMIString4096 and CMIString256 in mod/scorm/datamodels/scorm_12.js.php to a higher value.",22,29/8/2013,11/4/2014,225,New feature,Major,8
MDL-41528,LDAP Enrolment course creation default settings,"When not using a course as a template for new LDAP courses enable completion tracking is missing

In addition groupmodeforce is set twice.



",7,1/9/2013,13/9/2013,12,Bug,Minor,6
MDL-41541,Edit PDF: test_gs_path is broken,"Ghostscript is installed but however it returns this error when testing the path in the admin:
Unable to generate image - details: Command:/usr/bin/gs -q -sDEVICE=png16m -dSAFER -dBATCH -dNOPAUSE -r100 -dFirstPage=2 -dLastPage=2 -dGraphicsAlphaBits=4 -dTextAlphaBits=4 -sOutputFile=""/home/nginx/localhost/moodles/integration_master_pdf/moodledata/temp/assignfeedback_editpdf_test/image_page1.png"" ""/home/nginx/localhost/moodles/integration_master_pdf/moodle/mod/assign/feedback/editpdf/tests/fixtures/testgs.pdf""
Result: No pages will be processed (FirstPage > LastPage).
",3,2/9/2013,5/9/2013,3,Bug,Minor,2
MDL-41665,Convert hard coded HTML to use html_writer in Scorm,Notice the following issue while reviewing MDL-41612.,28,9/9/2013,6/6/2014,270,Improvement,Minor,9
MDL-41708,Attachment display for forums reversed,"When attaching files to a forum post they appear in the editor in the order uploaded, however when displayed they are ordered by timemodified, which has the effect of having the display order the reverse of the order in the editor.
My tutors use case is that they are uploading a sequence of images but when displayed they are in reverse order. The workaround is of course to uploaded them in reverse.",9,11/9/2013,6/6/2014,268,Improvement,Minor,8
MDL-41733,Allow direct authentication with CAS to a course when multiple authentication is activated,"In the portal of our University a student can connect directly to is course.
Both the portal and Moodle use the same authentication, CAS.

The problem is when we activate the Multi-authentication parameters on the CAS server configuration page, the CAS connected users from the portal are always prompted to choose their authentication method. Since they are already connected, we want to force the CAS auth.

We can choose the auth method from the login url, ex:
https://mymoodle.myuniversity.com/login/index.php?authCAS=CAS

it should be nice to have the same for courses ex:
https://mymoodle.myuniversity.com/course/view.php?id=12345&authCAS=CAS

After checked in the code, this way needed to modify the code at others place than the CAS auth module so since, its a CAS specific customization, I think we should only modify the code in the auth/CAS/auth.php file.

So the possible result will look like this:
https://mymoodle.myuniversity.com/login/index.php?authCAS=CAS&courseid=12345

I'll share the modification when finished.",12,11/9/2013,27/9/2013,16,Improvement,Minor,6
MDL-41778,LDAP Enrolment - Allow update of course fields during sync,"During LDAP sync allow to update course shortname, fullname, summary from LDAP server (optionally).

Add an ""update during sync"" option to each of the above course fields in enrol/ldap config.",11,13/9/2013,27/9/2013,14,Improvement,Minor,5
MDL-41792,The calendar itself should display dates depending on the calendar type used,"With the introduction of MDL-18375 we need the calendar to display the dates in the format defined by the calendar type being used, not just Gregorian.",39,15/9/2013,11/10/2013,26,New feature,Minor,10
MDL-41800,EditPDF: Add comments quicklist,Add the comments quicklist + searching interface.,2,16/9/2013,18/9/2013,2,Improvement,Minor,1
MDL-41829,Translation error in the international Spanish package,"Using Google Translate. Sorry.

In the file ""lesson.php"" and the string ""progresscompleted"" with the identifier ""mod_lesson"" shows:

   You have reached your {$ a]% of this lesson

You should see a key instead of a bracket: {$ a]% NO {$ a}% YES

   You have reached your {$ a}% of this lesson

Thank you.

---
Español:

En el archivo ""lesson.php"" y en la cadena ""progresscompleted"" con el identificador ""mod_lesson"" aparece lo siguiente:

Ha alcanzado el {$a]% de esta lección

Debería aparecer una llave en vez de un corchete:

Ha alcanzado el {$a}% de esta lección

Gracias.",3,17/9/2013,17/9/2013,0,Bug,Minor,2
MDL-42143,assignfeedback_editpdf/gspath should be admin_setting_configexecutable,This admin setting variant will do better checking of the path/executable status,5,4/10/2013,11/10/2013,7,Bug,Minor,5
MDL-42231,"LDAP, CAS data mapping for custom user fields string error when field shortname ends in number","MDL-16982 added the ability to data map LDAP and CAS authentication methods to custom user fields.  When testing this, I found that entering a number at the end of the shortname for any of the custom field types resulted in a string error on data mapping page.  

See attached image.  Each field types shortname ends in a number causing the string error.",10,9/10/2013,21/8/2014,316,Bug,Major,6
MDL-42269,Review all new events introduced in 2.6dev,"Events are not supposed to change between releases, we need to verify following:
* event names are standardised
* event structure is ok
* there are tests for all events
* events are trigger at the right places with correct parameters
",4,11/10/2013,4/11/2013,24,Task,Blocker,2
MDL-42310,"Feedback checkboxes, radio buttons and dropdown input controls are not processed through text filter","The contents of the checkboxes, radio buttons and dropdown input controls are not processed through Moodles format_text() or format_string() filters. As a result, things like multilang filtering is not applied to these fields. This is inconsistent with the field captions and other text displayed by this plugin which appear to all be processed by the format_string() function.

This issue appears in the multichoice and multichoicerated type of controls.",34,12/10/2013,10/1/2014,90,Bug,Minor,7
MDL-42343,"Deprecated warning, in maketestplan","Follow the testing instructions of MDL-42198, no warning should be generated.

However the following is generated:-

{code}
++ session_set_user() is deprecated, use \core\session\manager::set_user() instead ++
* line 131 of /lib/deprecatedlib.php: call to debugging()
* line 97 of /admin/tool/generator/cli/maketestplan.php: call to session_set_user()
{code}",11,15/10/2013,25/10/2013,10,Bug,Minor,5
MDL-42414,One more time() random failure: test_increment_revision_number,"This is a follow-up of MDL-41935 that is already integrated and tested.

A new random failure has been reported recently:

{code}
core_datalib_testcase::test_increment_revision_number
Failed asserting that '1381999791' is equal to 1381999792 or is greater than 1381999792.

/var/lib/jenkins/git_repositories/master/lib/tests/datalib_test.php:335
/var/lib/jenkins/git_repositories/master/lib/phpunit/classes/advanced_testcase.php:80
{code}

This is about to fix those assertions by using the new assertTimeCurrent() or, at least, move the time() calls to early in the test, so random second jumps don't happen in the middle.",6,17/10/2013,25/10/2013,8,Bug,Minor,5
MDL-42548,Quiz displays grade for a never-submitted attempt as 'Attempt still in progress',See https://moodle.org/mod/forum/discuss.php?d=243951,6,26/10/2013,8/11/2013,13,Bug,Minor,5
MDL-42555,invalid moodle_url in many events,"moodle_url needs ""\"" prefix when used from other namespaces...",6,27/10/2013,1/11/2013,5,Sub-task,Major,2
MDL-42564,Revised icons for course page to match others in 2.6,"* new:
** spinner
* resized:
** group icons
* menu icon (for dropdown without text)",12,28/10/2013,15/11/2013,18,Bug,Blocker,6
MDL-42589,File picker is blank in IE9+,This is a regression caused by MDL-42340,11,29/10/2013,1/11/2013,3,Bug,Blocker,7
MDL-42703,Getting course sort order fails under MSSQL,"The following error is reported when running unit tests under MSSQL...

{noformat}
2) core_course_courselib_testcase::test_course_change_sortorder_after_course
dml_write_exception: Error writing to database (SQLState: 42000<br>
Error Code: 102<br>
Message: [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax
near 'c'.<br>

UPDATE phpu_course c
                       SET sortorder = sortorder + 1
                     WHERE c.category = '2'
                       AND sortorder > '20003'
[array (
  0 => '2',
  1 => '20003',
)])

D:\xampp\htdocs\master_integration\lib\dml\moodle_database.php:444
D:\xampp\htdocs\master_integration\lib\dml\sqlsrv_native_moodle_database.php:245

D:\xampp\htdocs\master_integration\lib\dml\sqlsrv_native_moodle_database.php:352

D:\xampp\htdocs\master_integration\lib\dml\sqlsrv_native_moodle_database.php:743

D:\xampp\htdocs\master_integration\course\lib.php:3469
D:\xampp\htdocs\master_integration\course\tests\courselib_test.php:2241
D:\xampp\htdocs\master_integration\lib\phpunit\classes\advanced_testcase.php:80

To re-run:
 \xampp\php\phpunit core_course_courselib_testcase course\tests\courselib_test.php
{noformat}

In the function course_change_sortorder_after_course() there are a number of raw DB calls (I'm not sure why this was allowed). In each of the queries an alias is used for the table, however MSSQL seems to dislike this alias syntactically. As there is only a single table involved in each query the alias is not needed and can be removed. When it is removed, the queries work in MSSQL.",7,5/11/2013,15/11/2013,10,Bug,Blocker,5
MDL-42728,Import fixed English strings (en_fix) into the main English pack,"As a part of regular release process, en_fix pack from AMOS should be merged into the core English language ",11,6/11/2013,8/11/2013,2,Task,Minor,5
MDL-42884,Can not delete users with invalid emails,"The given username contains invalid characters

More information about this error
Debug info:
Error code: invalidusername
Stack trace:

    line 113 of /user/lib.php: moodle_exception thrown
    line 4213 of /lib/moodlelib.php: call to user_update_user()
    line 84 of /admin/user.php: call to delete_user()",13,14/11/2013,22/11/2013,8,Bug,Critical,6
MDL-43011,SCORM player 'embedded' layout,"Relates to https://tracker.moodle.org/browse/MDL-41696

We'd like to modify the SCORM player page to be displayable without header/footer for viewing in the Mobile app.

The page already accepts a display mode argument, but ignores it unless it's set to 'popup'. We'd like it react accordingly to a display mode of 'embedded' too.

if ($displaymode == 'embedded) { $PAGE->set_pagelayout('embedded') }",47,21/11/2013,11/4/2014,141,Improvement,Minor,11
MDL-43033,Newly created category does not appear when memcached cachestore is used,"To reproduce with Moodle 2.6 latest weekly build:

- add a memcache store instance (either memcached or memcache)
- map Application to it
- save the config
- click on Site Administration - > Manage courses and categories
- in the Course and category management page click on 'Create new category'
- edit category and save it
- the page 'Course and category management' does not show the newly created category

If memcache store is disabled (just remapping 'Application' to default store) the newly created category with the above described procedure appears correclty

Test has been done using both memcache and memcached cache store with local memcached daemon (127.0.0.1) or networked memcached deaemon running on a memcache server. In all cases the problem is reproducible. 

Workaround: purge caches


",10,23/11/2013,5/12/2013,12,Bug,Critical,7
MDL-43093,Update repeat_elements PHPdoc,There are several things that can be set in the options that are not documented.,7,27/11/2013,5/12/2013,8,Bug,Minor,5
MDL-43218,Link to blogs appears even when blogs not enabled,"_Steps to reproduce_

# Click Site Admin > Advanced Features
# Uncheck ""Enable Blogs""
# Create a course
# Enrol the admin user
# Enter the course
# Click Navigation > Current Course > Course Name > Participants

_What should happen_

There should be no link to ""Course blogs""

_What happens_

There is a link to ""Course blogs"". Clicking it gives an error:

Blogging is disabled!

More information about this error

Debug info: 
Error code: blogdisable
Stack trace:
line 463 of /lib/setuplib.php: moodle_exception thrown
line 38 of /blog/index.php: call to print_error()
",14,5/12/2013,13/12/2013,8,Bug,Minor,7
MDL-43369,error in question item stats,There is an error in the code that calculates stats for subquestions (a randomly selected question). All the stats calculations should be calculated over just the attempts where the sub question appears but the code uses the average of total grades over all attempts at the question in covariance and variance calculations. ,10,13/12/2013,7/2/2014,56,Bug,Minor,7
MDL-43394,"Behat checkbox controller ""clicks"" instead of ""checks""","I discovered this while writing Behat tests for MDL-40241.

No matter what I did I could not get the following to work

{code}
 And I set the following administration settings values:
    | Enable completion tracking | 1 |
 And I log out
{code}

I'd always get the error:
{code}
      Exception thrown by (//html//*[self::input | self::textarea | self::select][not(./@type = 'submit' or ./@type = 'image' or ./@type = 'hidden')][@id=//label[contains(normalize-space(.), 'Enable completion tracking')]/@for])[1]
      Unable to submit on a ""input"" tag.
{code}

Digging around in the code I think I found the correct fix",5,16/12/2013,10/1/2014,25,Bug,Minor,5
MDL-43439,Behat - add an option to take screenshots on failure,Sooooooo good for phantomjs.,21,18/12/2013,17/1/2014,30,Improvement,Major,4
MDL-43511,question bank should not store references to MUC cache,"MUC cache instances are cached internally, developers are expected to not store references to the cache returned from cache::make() because it breaks some types of MUC resets and probably when using different $identifiers parameter.

I discovered this the hard way when hacking MUC in phpunit, the questions tests started breaking badly because of the $this->cache = cache::make('core', 'questiondata'); in question/engine/bank.php

I was bitten by similar problem previously in dml drivers too...",5,29/12/2013,17/1/2014,19,Bug,Minor,5
MDL-43604,add support for MariaDB 10.x,"It looks like they decided to hack version numbers in future MariaDB release, my moodle tells me now that ""5.5.5-10.0.7-MariaDB"" is not high enough...

Solution is to do some stripping of extra rubbish in our mariadb driver...",27,8/1/2014,20/3/2014,71,Improvement,Major,9
