Issue ID,Issue Summary,Issue Description,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71
MDL-61663,Implement providers for core_portfolio and portfolio_xx plugins,"Implement providers for core_portfolio. This includes:

* Subsystem provider

* Subsystem interface for portfolio plugins to implement

* Reference portfolio plugin (Mahara) provider implementation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61672,Abstract static methods used in core_privacy\local\sitepolicy\handler,"As reported by [~tobias.reischmann] at https://moodle.org/local/chatlogs/index.php?conversationid=21752#c638360



bq. It seems that the new privacy changes in core created some ""regressions"" for moodle3.3 in combination with php5.6 and behat. privacy/classes/local/sitepolicy/handler.php uses abstract static functions, which are not allowed in php5.6 and cause a warning. This warning is handled within behat tests as exception. Thus the very common behat step 'And I log in as ""teacher""' is no longer working. Do we bother about something like that?



Moodle core has zero notice tolerance policy so as per suggestion by [~dobedobedoh] this is a blocker.



Making these methods abstract was based on the following suggestion raised during the integration review:



bq. In the abstract class 'handler', where you have a couple of methods defined and returning null, I can't see any case where we're relying on that base implementation. It seems to me we always want the extending class to implement these methods. Therefore, I think these should just be proper abstract methods. This way, we force the extending classes to provide implementations, rather than suggest.



To fulfill that suggestion while keeping this compatible with PHP 5.6, I propose to remove the abstract keyword from methods and making them throw coding exceptions, so that implementations are forced to provide them.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61681,Improve sorting of tours,Add timemodified to the list of sort fields,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61682,Implement provider in the dataprivacy tool,"Implement and pull request here:

https://github.com/moodlehq/moodle-tool_dataprivacy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61691,Incorrect namespace in plagiarism privacy provider,"See here:

https://github.com/moodle/moodle/blob/a235a6e02d0bf773b76f9e5545023cd27af118fd/plagiarism/classes/privacy/plagiarism_provider.php#L25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61692,Extend link_subsystem calls to allow components to specify privacy fields when linking,"Looking at the portfolio (and this may be the case for some other areas too), I see a situation where a given component calls the portfolio subsystem, which links to the plugin types (portfolio). The plugin types (Mahara for example) link externally.



The issue I see here is that only the component (let's use forum as an example), knows what data it passes to the subsystem, and which subsequently gets exported externally. The subsystem and the plugins just pass it along, and don't know this. To me, it sounds like we need a way to say something like ""Link subsystem with this data"" - which we currently don't have with the link subsystem class. Right now, we don't / can't describe metadata about the fields sent externally through this flow: forum -> portfolio subsystem -> mahara plugin.



I'd think one way to address this would be to allow passing in fields to link_subsystem.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61693,Implement core_privacy for core_calendar,Implement privacy provider for core_calendar.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61695,"Hide the ""Policies and agreements"" profile link to all users","The ""Policies and agreements"" profile link is displayed always. We should display it only when:

* Is the current user.

* The user has access to accept on behalf of the user.



",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61696,Use modal window in acceptances page for displaying the policies,"In the acceptances page, use the modal window for displaying the policies instead of showing the content in a new page.



Some example can be found in prepare_user_acceptances function in policy/classes/output/page_agreedocs.php.



",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61697,Inconsistent Page Return after Data Request,"After making a Data request on behalf of another user, Moodle returns to the ""Users"" data request page, not the ""Admin"" data request page that you started on.

# Go to /admin/tool/dataprivacy/datarequests.php

# Click ""New Request""

# Complete a request form & ""Save Changes""

# You are now on ""admin/tool/dataprivacy/mydatarequests.php""



This is a bit incongruous, and on the ""mydatarequests"" page the user doesn't have the same actions they can undertake:



ie. for an ""Awaiting Approval"" state they only get ""Cancel Request"", where on the ""datarequests"" page for the same item they can ""View/Approve/Deny"" the request.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61699,Guardian of minors from non Eu countries,"Trying to create a new Moodle account from user , selecting an age like '12' and Country any Non EU Country like Afghanistan site considers that the user is a minor



If a user from a non EU country tries to register it should be possible due in his country is no age restriction.



",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61703,Remove context_system restriction when storing user prefs,"As raised by [~gb2048] in https://moodle.org/mod/forum/discuss.php?d=365857#p1482411



It seems that there are valid reasons to store user preferences at the non-system context.



Plugins which need to do this will need to be based on the next point release, rather than the current one in order to do this.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61704,Use modal window to display acceptance on behalf,"it is possible to render a form in a modal, let's do it for the acceptance on behalf form",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61705,Allow bulk accept on behalf,In the mockups it is possible to check several people and accept on their behalf in one action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61706,Privacy and policies category in site administration is added for admins only,"In core all settings that are added under ""Privacy and policies"" are available for site admins only (req cap 'moodle/site:config'), however in tool_policy plugin we want to allow various managers to view/edit policies and agreements.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61710,Section error thrown if Site Policy handle is core & access tool_policy,"If the Core Site policy handler is set as being in use and you access the tool_policy {{managedocs.php}} a {{section error!}} message is displayed.

# Install {{tool_policy}}

# Leave Site Handler set to {{Core}}.

# Access {{/admin/tool/policy/managedocs.php}}

# Section Error! mesage is displayed

# Switch Site Handle to {{tool_policy}} 

# Access {{/admin/tool/policy/managedocs.php}}

# Page displays properly



Instead of an error if {{tool_policy}} is *not* the handler a useful error message should be displayed.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MDL-61712,Add a cache for purposes,We could also add one for categories but the really important one is for purposes as purposes contain retention periods and retention periods is what we need to fetch while calculating which contexts should be deleted.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61714,Change default age of digital consent according to current legislation on each country,As discussed in the French forums here [https://moodle.org/mod/forum/discuss.php?d=367653#p1482823] the digital age of consent in France was changed to 15 in February. Can this now be changed in Site admin defaults?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61721,tool_dataprivacy: Page breaks when loaded with clean theme on 3.3,"Originally reported by [~fred] at https://github.com/moodlehq/moodle-tool_dataprivacy/issues/19



{code}

This page: /admin/tool/dataprivacy/dataregistry.php



Debug info: core/single_button

Error code: filenotfound

Stack trace:



line 125 of /lib/classes/output/mustache_template_finder.php: moodle_exception thrown

line 54 of /lib/classes/output/mustache_filesystem_loader.php: call to core\output\mustache_template_finder::get_template_filepath()

line 99 of /lib/mustache/src/Mustache/Loader/FilesystemLoader.php: call to core\output\mustache_filesystem_loader->getFileName()

line 82 of /lib/mustache/src/Mustache/Loader/FilesystemLoader.php: call to Mustache_Loader_FilesystemLoader->loadFile()

line 643 of /lib/mustache/src/Mustache/Engine.php: call to Mustache_Loader_FilesystemLoader->load()

line 77 of data/localcache/mustache/1521706807/clean/__Mustache_dce0fc8c4319649dd9a569a30c1ebe7d.php: call to Mustache_Engine->loadPartial()

line 19 of data/localcache/mustache/1521706807/clean/__Mustache_dce0fc8c4319649dd9a569a30c1ebe7d.php: call to __Mustache_dce0fc8c4319649dd9a569a30c1ebe7d->sectionE392155473be045575f7c7f54cb7ce17()

line 67 of /lib/mustache/src/Mustache/Template.php: call to __Mustache_dce0fc8c4319649dd9a569a30c1ebe7d->renderInternal()

line 177 of /lib/outputrenderers.php: call to Mustache_Template->render()

line 91 of /admin/tool/dataprivacy/classes/output/renderer.php: call to renderer_base->render_from_template()

line 401 of /lib/outputrenderers.php: call to tool_dataprivacy\output\renderer->render_data_registry_page()

line 41 of /admin/tool/dataprivacy/dataregistry.php: call to plugin_renderer_base->render()

{code}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61722,"Set status to ""Draft"" to inactive policies","When a new policy is created, saved as active status and then I set it to inactive, it's not possible to do anything more with it (you can only view it).



We've discussed and, in this case, we should be able to set the status to ""Draft"" also.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61731,Implement core_privacy for a message email.,Implement the privacy provider for message email.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61743,Incorrect restrictions in helper delete/export when called from mod,"A mod can export for non-mod contexts, but the helper does not cope with this.



Bad combination of checking component name for mod, and a strict type hint of context_module on the functions they call.



{code}

If I try to delete user contexts I get the same error I reported Yesterday 



Error code: generalexceptionmessage

* line 275 of /privacy/classes/local/request/helper.php: TypeError thrown

* line 95 of /privacy/classes/local/request/helper.php: call to core_privacy\local\request\helper::delete_data_for_all_users_in_context_course_module()

* line 267 of /privacy/classes/manager.php: call to core_privacy\local\request\helper::delete_data_for_all_users_in_context()

* line 90 of /admin/tool/dataprivacy/classes/expired_contexts.php: call to core_privacy\manager->delete_data_for_all_users_in_context()

* line 61 of /admin/tool/dataprivacy/classes/task/expired_retention_period.php: call to tool_dataprivacy\expired_contexts->delete()

* line 156 of /admin/tool/task/cli/schedule_task.php: call to tool_dataprivacy\task\expired_retention_period->execute()



!!! Exception - Argument 2 passed to core_privacy\local\request\helper::delete_data_for_all_users_in_context_course_module() must be an instance of context_module, instance of context_user given, called in [dirroot]/privacy/classes/local/request/helper.php on line 95 !!!

{code}



[~dmonllao] will hopefully be able to advise which plugin this breaks on for replication instructions.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61751,Missing polyfill for plagiarism provider interface,Mentioned on MDL-61691. Need to provide this polyfill for plugins to use.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61752,Merge data privacy settings and links to the common Privacy and Policy admin tree branch,The summary describes pretty much everything.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61756,Add a global enable / disable delete expired contexts (according to data registry),"The data registry is useful to set a retention period to each moodle context instance. The consequences of not setting retention periods properly can be horrible e.g. 0 years retention period assigned at user context means that all users without ongoing courses will be deleted :)



We need moodle admins to explicitly enable this feature before stuff gets deleted automatically.



I intentionally allowed users to set a 0 years retention period, we may want to reconsider this.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61759,PHP notice when configured to use a missing site policy handler,"h3. Synopsis



When the admin configures a plugin to be used as a site policy handler, and that plugin then becomes unavailable (e.g. is uninstalled), a PHP notice is displayed to users.



h3. Steps to reproduce



* Put the following into your config.php: {{$CFG->sitepolicyhandler = 'foo_bar';}}

* Log in as a student

* Expected behaviour: Nothing special

* Actual behaviour: PHP notice is displayed:

{{Notice: Undefined index: foo_bar in .../privacy/classes/local/sitepolicy/manager.php on line 66}}",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61761,Implement core_privacy for a message jabber.,Implement the privacy provider for message jabber.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61764,Implement core_privacy for message popup.,Implement the privacy provider for message popup.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61774,Privacy officer follow-up,Remove the privacy officer setting. It should be further discussed in the future if a separate setting (or another solution) is needed when defining a Privacy officer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MDL-61780,Policy settings' and 'Site policies' site admin UI confusion,"It seems confusing having 'Policy settings' (including the 'Site policy URL') and 'Site policies' in the site admin UI.



How about if we change the name 'Site policies' to 'Site settings'? The word 'Site' is kept in the name for familiarity and 'settings' is consistent with other site admin pages.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
