Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff (days),Issue Type,#Contributors,Priority
MDL-61653,Write Web Services to service SARs,We need to write WS to serve the SARs to allow better integration with other systems.,0,3/15/2018,6/7/2018,84,Task,1,Major
MDL-61681,Improve sorting of tours,Add timemodified to the list of sort fields,1,3/19/2018,6/7/2018,80,Task,1,Minor
MDL-61691,Incorrect namespace in plagiarism privacy provider,"See here:
https://github.com/moodle/moodle/blob/a235a6e02d0bf773b76f9e5545023cd27af118fd/plagiarism/classes/privacy/plagiarism_provider.php#L25",17,3/20/2018,3/30/2018,10,Bug,5,Major
MDL-61692,Extend link_subsystem calls to allow components to specify privacy fields when linking,"Looking at the portfolio (and this may be the case for some other areas too), I see a situation where a given component calls the portfolio subsystem, which links to the plugin types (portfolio). The plugin types (Mahara for example) link externally.

The issue I see here is that only the component (let's use forum as an example), knows what data it passes to the subsystem, and which subsequently gets exported externally. The subsystem and the plugins just pass it along, and don't know this. To me, it sounds like we need a way to say something like ""Link subsystem with this data"" - which we currently don't have with the link subsystem class. Right now, we don't / can't describe metadata about the fields sent externally through this flow: forum -> portfolio subsystem -> mahara plugin.

I'd think one way to address this would be to allow passing in fields to link_subsystem.",15,3/20/2018,4/6/2018,17,Improvement,6,Blocker
MDL-61697,Inconsistent Page Return after Data Request,"After making a Data request on behalf of another user, Moodle returns to the ""Users"" data request page, not the ""Admin"" data request page that you started on.
# Go to /admin/tool/dataprivacy/datarequests.php
# Click ""New Request""
# Complete a request form & ""Save Changes""
# You are now on ""admin/tool/dataprivacy/mydatarequests.php""

This is a bit incongruous, andÂ on the ""mydatarequests"" page the user doesn't have the same actions they can undertake:

ie. for an ""Awaiting Approval"" state they only get ""Cancel Request"", where on the ""datarequests"" page for the same item they can ""View/Approve/Deny"" the request.",5,3/21/2018,4/4/2018,14,Bug,4,Minor
MDL-61699,Guardian of minors from non Eu countries,"Trying to create a new Moodle account from user , selecting an age like '12' and Country any Non EU Country like Afghanistan site considers that the user is a minor

If a user from a non EU country tries to register it should be possible due in his country is no age restriction.

Â ",2,3/21/2018,4/5/2018,15,Bug,2,Minor
MDL-61703,Remove context_system restriction when storing user prefs,"As raised by [~gb2048] in https://moodle.org/mod/forum/discuss.php?d=365857#p1482411

It seems that there are valid reasons to store user preferences at the non-system context.

Plugins which need to do this will need to be based on the next point release, rather than the current one in order to do this.",8,3/21/2018,4/6/2018,16,Bug,4,Minor
MDL-61704,Use modal window to display acceptance on behalf,"it is possible to render a form in a modal, let's do it for the acceptance on behalf form",2,3/21/2018,4/5/2018,15,Bug,2,Minor
MDL-61712,Add a cache for purposes,We could also add one for categories but the really important one is for purposes as purposes contain retention periods and retention periods is what we need to fetch while calculating which contexts should be deleted.,1,22/3/2018,12/4/2018,22,Task,1,Minor
MDL-61714,Change default age of digital consent according to current legislation on each country,As discussed in the French forums here [https://moodle.org/mod/forum/discuss.php?d=367653#p1482823]Â the digital age of consent in France was changed to 15 in February. Can this now be changed in Site admin defaults?,21,3/22/2018,5/13/2018,52,Bug,11,Minor
MDL-61721,tool_dataprivacy: Page breaks when loaded with clean theme on 3.3,"Originally reported by [~fred] at https://github.com/moodlehq/moodle-tool_dataprivacy/issues/19

{code}
This page: /admin/tool/dataprivacy/dataregistry.php

Debug info: core/single_button
Error code: filenotfound
Stack trace:

line 125 of /lib/classes/output/mustache_template_finder.php: moodle_exception thrown
line 54 of /lib/classes/output/mustache_filesystem_loader.php: call to core\output\mustache_template_finder::get_template_filepath()
line 99 of /lib/mustache/src/Mustache/Loader/FilesystemLoader.php: call to core\output\mustache_filesystem_loader->getFileName()
line 82 of /lib/mustache/src/Mustache/Loader/FilesystemLoader.php: call to Mustache_Loader_FilesystemLoader->loadFile()
line 643 of /lib/mustache/src/Mustache/Engine.php: call to Mustache_Loader_FilesystemLoader->load()
line 77 of data/localcache/mustache/1521706807/clean/__Mustache_dce0fc8c4319649dd9a569a30c1ebe7d.php: call to Mustache_Engine->loadPartial()
line 19 of data/localcache/mustache/1521706807/clean/__Mustache_dce0fc8c4319649dd9a569a30c1ebe7d.php: call to __Mustache_dce0fc8c4319649dd9a569a30c1ebe7d->sectionE392155473be045575f7c7f54cb7ce17()
line 67 of /lib/mustache/src/Mustache/Template.php: call to __Mustache_dce0fc8c4319649dd9a569a30c1ebe7d->renderInternal()
line 177 of /lib/outputrenderers.php: call to Mustache_Template->render()
line 91 of /admin/tool/dataprivacy/classes/output/renderer.php: call to renderer_base->render_from_template()
line 401 of /lib/outputrenderers.php: call to tool_dataprivacy\output\renderer->render_data_registry_page()
line 41 of /admin/tool/dataprivacy/dataregistry.php: call to plugin_renderer_base->render()
{code}",3,3/23/2018,4/4/2018,12,Bug,3,Minor
MDL-61731,Implement core_privacy for a message email.,Implement the privacy provider for message email.,12,3/23/2018,4/13/2018,21,New Feature,5,Minor
MDL-61743,Incorrect restrictions in helper delete/export when called from mod,"A mod can export for non-mod contexts, but the helper does not cope with this.

Bad combination of checking component name for mod, and a strict type hint of context_module on the functions they call.

{code}
If I try to delete user contexts I get the same error I reported Yesterday 

Error code: generalexceptionmessage
* line 275 of /privacy/classes/local/request/helper.php: TypeError thrown
* line 95 of /privacy/classes/local/request/helper.php: call to core_privacy\local\request\helper::delete_data_for_all_users_in_context_course_module()
* line 267 of /privacy/classes/manager.php: call to core_privacy\local\request\helper::delete_data_for_all_users_in_context()
* line 90 of /admin/tool/dataprivacy/classes/expired_contexts.php: call to core_privacy\manager->delete_data_for_all_users_in_context()
* line 61 of /admin/tool/dataprivacy/classes/task/expired_retention_period.php: call to tool_dataprivacy\expired_contexts->delete()
* line 156 of /admin/tool/task/cli/schedule_task.php: call to tool_dataprivacy\task\expired_retention_period->execute()

!!! Exception - Argument 2 passed to core_privacy\local\request\helper::delete_data_for_all_users_in_context_course_module() must be an instance of context_module, instance of context_user given, called in [dirroot]/privacy/classes/local/request/helper.php on line 95 !!!
{code}

[~dmonllao] will hopefully be able to advise which plugin this breaks on for replication instructions.",22,3/24/2018,4/13/2018,20,Bug,7,Blocker
MDL-61751,Missing polyfill for plagiarism provider interface,Mentioned on MDL-61691. Need to provide this polyfill for plugins to use.,17,3/26/2018,4/6/2018,11,Improvement,4,Minor
MDL-61752,Merge data privacy settings and links to the common Privacy and Policy admin tree branch,The summary describes pretty much everything.,13,3/26/2018,4/3/2018,8,Task,5,Minor
MDL-61764,Implement core_privacy for message popup.,Implement the privacy provider for message popup.,7,3/28/2018,4/25/2018,28,New Feature,6,Minor
MDL-61780,Policy settings' and 'Site policies' site admin UI confusion,"It seems confusing having 'Policy settings' (including the 'Site policy URL') and 'Site policies'Â in the site admin UI.

How about if we change the name 'Site policies' to 'Site settings'? The word 'Site' is kept in the name for familiarity and 'settings' is consistent with otherÂ site admin pages.",5,3/28/2018,4/4/2018,7,Bug,4,Minor
MDL-61795,Implement core_privacy for block rss client,Implement the privacy provider for block_rss_client.,14,3/29/2018,4/13/2018,15,New Feature,5,Minor
MDL-61803,Missing string for cache definition in tool_policy causes unit test failure,"Missing string 'cachedef_toolpolicy' causes core_cache_administration_helper_testcase::test_get_summaries test to fail. See the following:
core_cache_administration_helper_testcase::test_get_summaries
Unexpected debugging() call detected.
Debugging: String does not exist. Please check your string definition for cachedef_toolpolicy/tool_policy
* line 10013 of /lib/moodlelib.php: call to debugging()
* line 623 of /cache/classes/definition.php: call to lang_string->__construct()
* line 823 of /cache/locallib.php: call to cache_definition->get_name()
* line 97 of /cache/tests/administration_helper_test.php: call to cache_administration_helper::get_definition_summaries()
* line ? of unknownfile: call to core_cache_administration_helper_testcase->test_get_summaries()
* line 1085 of /vendor/phpunit/phpunit/src/Framework/TestCase.php: call to ReflectionMethod->invokeArgs()
* line 936 of /vendor/phpunit/phpunit/src/Framework/TestCase.php: call to PHPUnit_Framework_TestCase->runTest()
* line 91 of /lib/phpunit/classes/advanced_testcase.php: call to PHPUnit_Framework_TestCase->runBare()
* line 701 of /vendor/phpunit/phpunit/src/Framework/TestResult.php: call to advanced_testcase->runBare()
* line 892 of /vendor/phpunit/phpunit/src/Framework/TestCase.php: call to PHPUnit_Framework_TestResult->run()
* line 753 of /vendor/phpunit/phpunit/src/Framework/TestSuite.php: call to PHPUnit_Framework_TestCase->run()
* line 753 of /vendor/phpunit/phpunit/src/Framework/TestSuite.php: call to PHPUnit_Framework_TestSuite->run()
* line 753 of /vendor/phpunit/phpunit/src/Framework/TestSuite.php: call to PHPUnit_Framework_TestSuite->run()
* line 465 of /vendor/phpunit/phpunit/src/TextUI/TestRunner.php: call to PHPUnit_Framework_TestSuite->run()
* line 185 of /vendor/phpunit/phpunit/src/TextUI/Command.php: call to PHPUnit_TextUI_TestRunner->doRun()
* line 115 of /vendor/phpunit/phpunit/src/TextUI/Command.php: call to PHPUnit_TextUI_Command->run()
* line 47 of /vendor/phpunit/phpunit/phpunit: call to PHPUnit_TextUI_Command::main()
Â ",2,3/30/2018,4/4/2018,5,Bug,2,Minor
MDL-61814,Implement the privacy provider for core_user.,Implement the core_privacy provider for core_user.,26,4/1/2018,5/13/2018,42,Improvement,8,Major
MDL-61817,Implement core_privacy for tinymce plugins,Probably all null providers.,10,4/1/2018,4/6/2018,5,Bug,4,Minor
MDL-61819,Implement core_privacy for a text editors,"# editor_textarea should be easy
# editor_tinymce... we'll see
# editor_atto - user preferences",19,4/2/2018,4/18/2018,16,Bug,5,Minor
MDL-61841,tool_policy: Not clear from UI that manager/parent can agree to the policies by clicking on red cross,"UI needs to be improved so it is more clear that red X is actually clickable

See mockups 
https://projects.invisionapp.com/share/WJFKUJA6BVD#/screens/279738984
https://projects.invisionapp.com/share/WJFKUJA6BVD#/screens/277570491
https://projects.invisionapp.com/share/WJFKUJA6BVD#/screens/277606661",7,4/4/2018,5/22/18,48,Bug,5,Minor
MDL-61844,When saving policy as active or creating new policy the current user is requested to accept policy,"During some policy editing actions manager is requested to accept new policies. During some other actions manager is not (even though active policies have changed). 

There are behat tests that have ""TODO"" with this MDL number to help investigate it, see https://github.com/moodlehq/moodle-tool_policy/pull/35

Interesting that behat test ""Edit active policy and save as new active version"" works for manager but some others don't.",10,4/4/2018,4/18/2018,14,Bug,3,Minor
MDL-61845,tool_policy: Add more behat tests,"The following behat tests are still absent:

Manage policies interface:
- Make sure that users are requested to agree to new policies or new policy versions on the next login
- Deleting and changing sort order of policies

Parent functionality:
- Make sure parent can accept new policies on behalf of their child

User agreements:
- Behat tests for filters",2,4/4/2018,9/13/2018,162,Bug,2,Major
MDL-61846,Implement core_privacy for dataformat plugins.,Implement core_privacy for dataformat plugins.,10,4/5/2018,4/13/2018,8,New Feature,6,Minor
MDL-61848,Implement providers for auth_manual,Attempt to write auth_manual providers for the in-progress SAR API.,22,4/5/2018,4/21/2018,16,New Feature,5,Minor
MDL-61857,tool_policy: Do not display select column if there are no checkboxes,"h3. Steps to reproduce

# With the plugin installed using the default permissions
# Log in as Manager - so that you do not have the permission to accept policies on behalf of other users
# Go to the User agreements report

* Expected behaviour: As you can't mark policies as agreed, there is no point of showing the empty first column ""Select""
* Actual behaviour: Column heading is displayed, overlapping with the other heading.

!screenshot-1.png|thumbnail!",2,4/5/2018,3/21/19,350,Bug,3,Minor
MDL-61863,Implement providers for core_notes,Implement providers for core_notes,25,4/5/2018,4/28/2018,23,Improvement,8,Minor
MDL-61864,Prepare tool_policy for integration in 3.5,"Prepare plugin tool_policy for integration in 3.5

*Removed files:
** README.md
** LICENSE.md
** .travis.yml
* version.php changed to look like a standard plugin


",26,4/5/2018,4/21/2018,16,Improvement,8,Major
MDL-61866,tool_policy: thirdpartylibraries are defined incorrectly,"1. -Need to be two entries, one for JS file and another for styles.css- (edited: sorry, we don't need this)
2. Inside styles.css it should be clear which styles are from the library and which are additional
3. readme_moodle.txt is absent - it needs to explain where the library was imported from and how to upgrade",8,4/5/2018,4/18/2018,13,Bug,3,Minor
MDL-61867,Implement core_privacy for fileconverter_unoconv,Implement core_privacy for fileconverter_unoconv.,10,4/5/2018,4/13/2018,8,New Feature,6,Minor
MDL-61872,tool_dataprivacy using non existing method,"TheÂ  [moodle-tool_dataprivacy|https://github.com/moodlehq/moodle-tool_dataprivacy/]Â plugin created by MoodleHQ currently does not execute itsÂ process_data_request_task correctly.

If there are requests the tool will try to call the method: ""\core_privacy\manager::delete_user_data"" in line [117|https://github.com/moodlehq/moodle-tool_dataprivacy/blob/MOODLE_34_STABLE/classes/task/process_data_request_task.php#L117]Â but this method does not exist in the currently implemented privacy API.Â 

[delete_data_for_user|https://github.com/moodle/moodle/blob/MOODLE_34_STABLE/privacy/classes/manager.php#L233] would be the correct method to call i think, as they share the same method signature.",1,4/6/2018,4/11/2018,5,Bug,2,Minor
MDL-61873,Implement core_privacy for auth plugins (not oauth2 and manual),"Probably all null providers. (Not auth_oauth2 and auth_manual MDL-61848)

auth_cas
auth_db
auth_email
auth_ldap
auth_lti
auth_mnet
auth_nologin
auth_none
auth_shibboleth
auth_webservice

Â 

For Moodle 3.3.5 has to:

auth_imap
auth_fc
auth_pam
auth_pop3
auth_nntp",13,4/6/2018,4/13/2018,7,New Feature,4,Minor
MDL-61874,Make tool_dataprivacy\page_helper more generic,The current page_helper class is very specific to the data registry administration. We must make this a bit more generic so it can be reused by other data privacy admin pages.,3,4/6/2018,4/7/2018,1,Bug,3,Minor
MDL-61875,Split out manager->get_components_list into a core function,"This list of frankenstyle names for all core components (plugins + core subsystems) is used all over the place in both this project and in places in core too (search and others). We should have a function in core_component which provides this, instead of having to assemble this list manually all over the place.

This change should introduce the function in core and make the manager use this instead of its current internal implementation.",17,4/6/2018,4/13/2018,7,Improvement,4,Minor
MDL-61877,Implement core_privacy for core_competency,See summary.,30,4/6/2018,5/9/2018,33,New Feature,8,Minor
MDL-61878,Implement core_privacy for fileconverter_googledrive,Implement core_privacy for fileconverter_googledrive,8,4/6/2018,4/21/2018,15,New Feature,5,Minor
MDL-61882,Implement providers for auth_oauth2,Implement providers for auth_oauth2,23,4/7/2018,4/25/2018,18,New Feature,6,Minor
MDL-61888,Avoid using $OUTPUT in tool_dataprivacy adhoc tasks,"As discovered in MDL-61800, the Task API doesn't seem to setup $OUTPUT properly. This causes adhoc tasks that send email notifications as these use $OUTPUT to render the templates for the email messages.

This would also (probably) block tool_dataprivacy from getting integrated to master.

To workaround this, remove the usages of $OUTPUT and templates in the tool's adhoc tasks.",4,4/7/2018,4/9/2018,2,Bug,3,Blocker
MDL-61889,Address Travis failures in tool_dataprivacy,I dream of seeing a green Travis build for the tool_dataprivacy. We need to address this.,11,4/7/2018,6/29/2018,83,Bug,5,Minor
MDL-61895,Implement core provider for availability plugins,Implement availability plugins,8,4/8/2018,4/13/2018,5,Bug,4,Minor
MDL-61898,"Implement core_privacy for core_cache, cachestores, etc.","* core_cache
* cachestore plugintype",11,4/9/2018,5/9/2018,30,Bug,5,Minor
MDL-61899,Include tool_dataprivacy in core,This issue is about including https://github.com/moodlehq/moodle-tool_dataprivacy in core and it is closely related to privacy API and MDL-61306.,112,4/9/2018,4/21/2018,12,New Feature,12,Blocker
MDL-61902,Implement core_privacy for media plugins.,Implement core_privacy forÂ media plugins.,7,4/9/2018,4/18/2018,9,New Feature,6,Minor
MDL-61903,Implement core_privacy for webservice plugins.,Implement core_privacy for webservice plugins.,6,4/10/2018,4/18/2018,8,New Feature,5,Minor
MDL-61908,Same heading appearing twice on Data privacy pages,"Multiple pages in the Data privacy (tool_dataprivacy) plugin have the same heading displayed twice.

!screenshot-1.png|thumbnail! 

This is because these page set the same text by both {{$PAGE->set_heading()}} and {{echo $OUTPUT->heading($title);}}. It is common that pages like this should use
{code}
$PAGE->set_heading($SITE->fullname);
{code}

instead.",16,4/10/2018,9/21/2018,164,Bug,6,Minor
MDL-61915,Implement core_privacy for enrol plugins (not lti and paypal),"Probably all null providers. (Not enrol_lti and enrol_paypal).

enrol_category
enrol_cohort
enrol_database
enrol_flatfile
enrol_guest
enrol_imsenterprise
enrol_ldap
enrol_manual
enrol_meta
enrol_mnet
enrol_self",13,4/10/2018,4/25/2018,15,New Feature,5,Minor
MDL-61918,Implement core_privacy for assignment plugins.,Implement core_privacy for assignment plugins.,8,4/10/2018,4/18/2018,8,New Feature,7,Minor
MDL-61919,Implement core_privacy API for core_message subsystem,"Implement core_privacy API for core_message subsystem.

This covers the sending/receiving of all core messages and notifications in Moodle.",18,4/10/2018,5/9/2018,29,Bug,5,Minor
MDL-61920,Implement core_privacy for LTI and all subplugins,Implement core_privacy for LTI and all subplugins,19,4/10/2018,5/9/2018,29,Bug,7,Minor
MDL-61925,Enable contexts to be added without SQL,"In the get_contexts_for_userid() provider method, it would be useful to be able to add known contexts directly when a plugin stores all its data at that context. The only two use cases for this I can think of are the system context and the user context, so it may not be worth making set_contextids() public, but a couple of helper methods like add_system_context() and add_user_context($userid) would be useful.

At the moment you have to do something like this, which seems absurd:
{code} public static function get_contexts_for_userid(int $userid): contextlist {
$result = new contextlist('local_someplugin');
$result->add_from_sql('SELECT id FROM {context} WHERE id = ?', [\context_system::instance()->id]);
return $result;
}
{code}",1,4/11/2018,5/17/2018,36,New Feature,3,Minor
MDL-61935,Provide means for the Privacy Officer to set lawful basis for defining purposes for collection of personal data,"We need to add form controls that let the Privacy Officer select one or more items defined in GDPR Art 6: Lawfulness of processing and GDPR Art 9: Sensitive Personal Data.

https://docs.google.com/document/d/140ntePga4GmR8R8VAQuOC1AJfEW0mKLzgV-aNfb60y0/edit
",4,4/12/2018,4/14/2018,2,Task,3,Minor
MDL-61937,Implement core_privacy for mod_data and datafields,"Implement core_privacy for mod_data and datafields:
* datafield_checkbox
* datafield_date
* datafield_file
* datafield_latlong
* datafield_menu
* datafield_multimenu
* datafield_number
* datafield_picture
* datafield_radiobutton
* datafield_text
* datafield_textarea
* datafield_url",33,4/12/2018,5/9/2018,27,New Feature,10,Minor
MDL-61944,Implement providers for tool_mobile,"Implement core_privacy for admin/tool/mobile.

It has a user preference: tool_mobile_autologin_request_last",13,4/12/2018,4/28/2018,16,New Feature,4,Minor
MDL-61945,Implement providers for core_register,Implements Null Provider.,10,4/12/2018,4/21/2018,9,New Feature,6,Minor
MDL-61948,Implement core_privacy for core media.,Implement core_privacy for core media.,6,4/12/2018,4/21/2018,9,New Feature,5,Minor
MDL-61952,Implement core_privacy API for gradeexport,"Implement core_privacy for gradeexport plugins:
* gradeexport_ods
* gradeexport_txt
* gradeexport_xls
* gradeexport_xml",9,4/12/2018,4/18/2018,6,New Feature,5,Minor
MDL-61954,Implement core_privacy API for gradeimport,"Implement core_privacy for gradeimport plugins:
* gradeimport_csv
* gradeimport_direct
* gradeimport_xml",7,4/12/2018,4/18/2018,6,New Feature,5,Minor
MDL-61957,Implement core_privacy API for gradereport,"Implement core_privacy forÂ gradereport plugins:
* gradereport_grader
* gradereport_history
* gradereport_outcomes
* gradereport_overview
* gradereport_singleview
* gradereport_user",11,4/13/2018,4/21/2018,8,New Feature,5,Minor
MDL-61959,Implement core_privacy for mod_scorm,"Implement the privacy API in the SCORM module.

",22,4/13/2018,5/2/2018,19,New Feature,9,Minor
MDL-61966,Myoverview block incorrectly implements Privacy API,"The 'myoverview' ('/blocks/myoverview') block records the user preference for the state of its tabs.Â  For example in lib.php there is:

````

function block_myoverview_user_preferences() \{
$preferences = array();
$preferences['block_myoverview_last_tab'] = array(
'type' => PARAM_ALPHA,
'null' => NULL_NOT_ALLOWED,
'default' => BLOCK_MYOVERVIEW_TIMELINE_VIEW,
'choices' => array(BLOCK_MYOVERVIEW_TIMELINE_VIEW, BLOCK_MYOVERVIEW_COURSES_VIEW)
);

return $preferences;
}

````

being the user preference 'block_myoverview_last_tab'.Â  However in 'classes/privacy/provider.php' the 'null_provider' class is implemented 'class provider implements \core_privacy\local\metadata\null_provider' indicating that no user data is stored.Â  This is clearly not the case.Â  The language file states 'The Course overview block only shows data stored in other locations.' but it stores a user preference pertaining to a user id.",11,4/13/2018,4/25/2018,12,Bug,6,Major
MDL-61970,Implement core_privacy for mod_survey,See summary.,16,4/13/2018,4/21/2018,8,New Feature,7,Minor
MDL-61971,Warn when downloading GDPR export over HTTP,"Suggestion from Martin:
{quote}
Please contact your system administrator to let them know that they need to install SSL on this site to allow features like this to work properly.
{quote}

Or something like that.",10,4/13/2018,5/13/2018,30,Bug,7,Blocker
MDL-61977,Implement core_privacy for tool_profiling,"Implement null providers for tool_profiling.

This plugin does access data from the mdl_profiling table, where the data is inserted by the lib/xhprof/xhprof_moodle.php script -> function profiling_import_runs().

However, the mdl_profiling table does not contain any user identifiable data.",6,4/13/2018,4/18/2018,5,Improvement,5,Minor
MDL-61984,Implement core_privacy for mod_chat,See summary.,18,4/14/2018,4/25/2018,11,New Feature,7,Minor
MDL-61986,Implement core_privacy for mod_lesson,See summary.,16,4/14/2018,4/28/2018,14,New Feature,7,Minor
MDL-61994,Implement providers for mod_glossary,Attempt to write mod_glossary providers for the in-progress SAR API.,32,4/16/2018,5/13/2018,27,Improvement,6,Major
MDL-62006,Determine and implement privacy support of short lived chat data,"The chat module stores information in _chat_users_ and _chat_messages_current.

The table _chat_users_ contains a list of users who appear to be active in a chat and is cleaned on a regular basis, whether by cron, or is triggered as part of user requests.

The table _chat_messages_current_ contains a list of recent messages from a chat, it appears to be a temporary cache for fast fetching of latest chat messages. Messages older than 8 hours are purged on a regular basis through cron runs.

In this issue we must decide whether reporting and exporting of such information is needed, and if yes implement it. This follows the work done in MDL-61984.",2,4/17/2018,6/7/2018,51,Improvement,3,Minor
MDL-62015,Auto select new purposes and categories,"The data registry UI allows us to easily create new purposes and categories. Once a new item is created we reload the current page but we don't autoselect the new item.

Some extra info:

Eloy raised this topic during MDL-61899 review:

_When adding categories or purposes, I'd expect the just created one to become automatically selected in the dropdow. Right now you've to pick it after being created._

And I replied this:

_It is not that simple and it needs more definition. Imagine that a specific context already have a selected purpose, you add another one and we reload the page selecting the new purpose; if the user just leaves the page the new purpose is added but not linked to that context, if we save it automatically we may be doing ""too much""... I don't have any preference, just that what is the best solution is not 100% clear to me and it should be discussed with UX team._",0,4/18/2018,6/7/2018,50,Improvement,1,Minor
MDL-62026,Data Protection Officer cannot change pending status on other enquiries,"Hello,

If a user uses the link ""Contact Data Protection Officer"" the said CDPO cannot answer to this message in data requests the only action available for this kind of data request is ""view the request"" so the request is will be indefinitely in ""pending"" status.

Tested with Moodle 3.3.5 and Data privacy tool_dataprivacy 33.0.0 (2017051500)

Â 

Â ",41,4/18/2018,7/13/2018,86,Bug,10,Major
MDL-62029,Implement core_privacy for course,Update core_course to use the privacy system.,24,4/18/2018,5/13/2018,25,Bug,10,Minor
MDL-62031,Restored courses should restore the backup purpose and category,"This was proposed by Eloy during MDL-61899 review. If the backup is imported from another site I would say that it may be better to not restore it, as we don't have any idnumber to reference.",3,4/18/2018,5/18/18,30,New Feature,3,Minor
MDL-62047,Implement core_privacy for a core_userkey,This is a bit more complex than others as this subsystem does not have a data directory just yet.,12,4/19/2018,4/25/2018,6,Improvement,6,Blocker
MDL-62049,Wrong string used in the function transform::date meaning no date is displayed,"We are only showing the time, no date.",13,4/19/2018,4/25/2018,6,Bug,5,Minor
MDL-62055,Implement core_privacy API for mod_imscp,Implement core_privacy for mod_imscp,6,4/20/2018,4/25/2018,5,New Feature,5,Minor
MDL-62056,Adapt tool_policy to avoid travis errors on Github plugin project,"When MDL-61864 was finished, the code for the Moodle 3.3 and 3.4 tool_policy plugin has been updated, to align the versions.

As travis on the GitHub project ([https://github.com/moodlehq/moodle-tool_policy]) is more strict than CiBot, some minor changesÂ should be done in the code for removing these travis errors.",9,4/20/2018,5/13/2018,23,Improvement,5,Minor
MDL-62060,Use JSON_UNESCAPED_UNICODE for the data export,To ensure that the exported JSON file is human readable.Â  E.g.Â Persian text (ÙØªÙ)Â is currently outputted asÂ \u0645\u062a\u0646.,15,4/20/2018,5/2/2018,12,Bug,8,Minor
MDL-62062,Change policy agreements once the policies has been accepted,"Eva Karall has posted the following comment to [https://moodle.org/plugins/tool_policy:]

{{Will there be a possibility to opt out (disagree) again from a policy? I cannot find anything about it. Thanks.}}

Â 

We should add a link in the profile to [http://yourmoodleurl//admin/tool/policy/index.php]Â for let him/her change the agreements.",28,4/20/2018,5/9/2018,19,Improvement,8,Minor
MDL-62079,Implement core_privacy for core_filters,core_filters does not define any data.,6,4/23/2018,4/25/2018,2,Improvement,5,Minor
